#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTN2	MYL2	9606.ENSP00000355537	9606.ENSP00000228841	0	0	0	0	0.552	0.052	0.500	0	0.769
ACTN2	HRC	9606.ENSP00000355537	9606.ENSP00000252825	0	0	0	0	0.410	0	0	0	0.410
ACTN2	PGAM2	9606.ENSP00000355537	9606.ENSP00000297283	0	0	0	0	0.419	0.087	0	0	0.447
ACTN2	MYLPF	9606.ENSP00000355537	9606.ENSP00000325239	0	0	0	0	0.487	0.052	0	0	0.493
ACTN2	MYH7	9606.ENSP00000355537	9606.ENSP00000347507	0	0	0	0	0.702	0.613	0	0	0.880
ACTN2	MB	9606.ENSP00000355537	9606.ENSP00000352835	0	0	0	0	0.421	0	0	0	0.421
ACTN2	SYNPO2L	9606.ENSP00000355537	9606.ENSP00000378289	0	0	0	0	0.265	0.236	0	0	0.415
ACTN2	LMOD2	9606.ENSP00000355537	9606.ENSP00000411932	0	0	0	0	0.485	0	0	0	0.485
ACTN2	SMPX	9606.ENSP00000355537	9606.ENSP00000368808	0	0	0	0	0.581	0	0	0	0.581
ACTN2	TPM2	9606.ENSP00000355537	9606.ENSP00000496494	0	0	0	0	0.229	0.479	0	0	0.581
ACTN2	TNNT3	9606.ENSP00000355537	9606.ENSP00000370975	0	0	0	0	0.482	0.058	0	0	0.491
ACTN2	CSRP3	9606.ENSP00000355537	9606.ENSP00000431813	0	0	0	0	0.554	0.525	0	0	0.779
ADAMDEC1	PLA2G7	9606.ENSP00000256412	9606.ENSP00000274793	0	0	0	0	0.437	0	0	0	0.437
ADAMDEC1	MMP12	9606.ENSP00000256412	9606.ENSP00000458585	0	0	0	0	0.421	0	0	0	0.420
ADAMDEC1	CXCL13	9606.ENSP00000256412	9606.ENSP00000286758	0	0	0	0	0.492	0	0	0	0.491
ADCY5	PKLR	9606.ENSP00000419361	9606.ENSP00000339933	0	0	0	0	0	0	0.650	0	0.650
ADCY5	ENTPD2	9606.ENSP00000419361	9606.ENSP00000347213	0	0	0	0	0.080	0	0.900	0	0.904
ADCY5	ENTPD8	9606.ENSP00000419361	9606.ENSP00000360561	0	0	0	0	0.055	0	0.650	0	0.655
ADCY5	ADRA2C	9606.ENSP00000419361	9606.ENSP00000386069	0	0	0	0	0.110	0	0.500	0	0.536
ADCY5	RAPGEF3	9606.ENSP00000419361	9606.ENSP00000395708	0	0	0	0	0.115	0	0.900	0	0.907
ADCY5	GNG4	9606.ENSP00000419361	9606.ENSP00000398629	0	0	0	0	0.042	0	0.650	0	0.650
ADCY5	ADRA2B	9606.ENSP00000419361	9606.ENSP00000480573	0	0	0	0	0.083	0	0.500	0	0.522
ADCY5	GCH1	9606.ENSP00000419361	9606.ENSP00000477796	0	0	0	0	0	0	0.800	0	0.800
ADH1C	UGT2B17	9606.ENSP00000426083	9606.ENSP00000320401	0	0	0	0	0.138	0	0.650	0	0.685
ADH1C	UGT2B15	9606.ENSP00000426083	9606.ENSP00000341045	0	0	0	0	0.178	0	0.650	0	0.700
ADH1C	ALDH3B2	9606.ENSP00000426083	9606.ENSP00000501254	0.048	0	0	0	0.107	0	0.706	0	0.729
ADIPOQ	PLIN1	9606.ENSP00000389814	9606.ENSP00000300055	0	0	0	0	0.784	0	0	0	0.784
ADIPOQ	LEP	9606.ENSP00000389814	9606.ENSP00000312652	0	0	0	0	0.683	0	0	0	0.683
ADIPOQ	MLXIPL	9606.ENSP00000389814	9606.ENSP00000320886	0	0	0	0	0.060	0	0.400	0	0.411
ADIPOQ	CIDEC	9606.ENSP00000389814	9606.ENSP00000373328	0	0	0	0	0.488	0	0	0	0.488
ADM2	SCT	9606.ENSP00000379087	9606.ENSP00000176195	0	0	0	0	0.044	0	0.400	0	0.401
ADM2	CALCA	9606.ENSP00000379087	9606.ENSP00000331746	0	0	0	0	0.043	0	0.400	0	0.401
ADM2	RLN2	9606.ENSP00000379087	9606.ENSP00000371040	0	0	0	0	0	0	0.400	0	0.400
ADRA1A	GNG4	9606.ENSP00000369960	9606.ENSP00000398629	0	0	0	0	0	0.171	0.500	0	0.567
ADRA1A	CXCR4	9606.ENSP00000369960	9606.ENSP00000386884	0	0	0	0.611	0.071	0.599	0	0	0.611
ADRA2B	ADRA2C	9606.ENSP00000480573	9606.ENSP00000386069	0	0	0	0.927	0.060	0	0.400	0	0.411
ADRA2B	GNG4	9606.ENSP00000480573	9606.ENSP00000398629	0	0	0	0	0.061	0.190	0.500	0	0.586
ADRA2C	GNG4	9606.ENSP00000386069	9606.ENSP00000398629	0	0	0	0	0.080	0.190	0.500	0	0.595
AHSP	HBQ1	9606.ENSP00000307199	9606.ENSP00000199708	0	0	0	0	0.776	0	0.540	0	0.892
AHSP	HBA2	9606.ENSP00000307199	9606.ENSP00000251595	0	0	0	0	0.175	0.962	0.720	0	0.990
AHSP	KRT1	9606.ENSP00000307199	9606.ENSP00000252244	0	0	0	0	0.406	0	0	0	0.406
AHSP	HEMGN	9606.ENSP00000307199	9606.ENSP00000259456	0	0	0	0	0.629	0	0	0	0.629
AHSP	SLC4A1	9606.ENSP00000307199	9606.ENSP00000262418	0	0	0	0	0.783	0	0	0	0.783
AHSP	RHAG	9606.ENSP00000307199	9606.ENSP00000360217	0	0	0	0	0.411	0	0	0	0.411
AHSP	HBM	9606.ENSP00000307199	9606.ENSP00000349270	0	0	0	0	0.792	0	0.540	0	0.900
AHSP	ALAS2	9606.ENSP00000307199	9606.ENSP00000497236	0	0	0	0	0.790	0	0	0	0.790
AHSP	HBB	9606.ENSP00000307199	9606.ENSP00000494175	0	0	0	0	0.335	0	0.720	0	0.806
AHSP	HBA1	9606.ENSP00000307199	9606.ENSP00000322421	0	0	0	0	0.366	0.900	0.720	0	0.980
AIM2	CASP5	9606.ENSP00000357112	9606.ENSP00000376849	0	0	0	0	0.180	0	0.900	0	0.914
ALAS2	HBQ1	9606.ENSP00000497236	9606.ENSP00000199708	0	0	0	0	0.643	0	0	0	0.643
ALAS2	HEMGN	9606.ENSP00000497236	9606.ENSP00000259456	0	0	0	0	0.408	0	0	0	0.408
ALAS2	SLC4A1	9606.ENSP00000497236	9606.ENSP00000262418	0	0	0	0	0.680	0	0	0	0.680
ALAS2	HBA1	9606.ENSP00000497236	9606.ENSP00000322421	0	0	0	0	0.500	0	0	0	0.500
ALAS2	HBM	9606.ENSP00000497236	9606.ENSP00000349270	0	0	0	0	0.780	0	0	0	0.780
ALAS2	GLDC	9606.ENSP00000497236	9606.ENSP00000370737	0.047	0	0	0	0.086	0	0.900	0	0.905
ALAS2	HBB	9606.ENSP00000497236	9606.ENSP00000494175	0	0	0	0	0.451	0	0	0	0.451
ALDH1L1	FTCD	9606.ENSP00000273450	9606.ENSP00000380856	0	0	0	0	0.122	0	0.900	0	0.908
ALDH3B2	AOC3	9606.ENSP00000501254	9606.ENSP00000312326	0	0	0	0	0.079	0.071	0.918	0	0.924
AMPD1	ENTPD8	9606.ENSP00000430075	9606.ENSP00000360561	0	0	0	0	0.046	0	0.900	0	0.900
AP1M2	ENTHD1	9606.ENSP00000465685	9606.ENSP00000317431	0	0	0	0	0	0	0.540	0	0.540
AP1M2	HLA-DQA1	9606.ENSP00000465685	9606.ENSP00000339398	0	0	0	0	0	0	0.500	0	0.499
AP1M2	RAB25	9606.ENSP00000465685	9606.ENSP00000354376	0	0	0	0	0.383	0.128	0	0	0.439
AP1M2	HLA-DQA2	9606.ENSP00000465685	9606.ENSP00000364076	0	0	0	0	0	0	0.500	0	0.499
AP1M2	TFRC	9606.ENSP00000465685	9606.ENSP00000376197	0	0	0	0	0	0	0.500	0	0.499
AP1M2	HLA-DRA	9606.ENSP00000465685	9606.ENSP00000378786	0	0	0	0	0	0	0.500	0	0.499
AP1M2	HLA-DPA1	9606.ENSP00000465685	9606.ENSP00000393566	0	0	0	0	0	0	0.500	0	0.499
AP1M2	HLA-DQB2	9606.ENSP00000465685	9606.ENSP00000396330	0	0	0	0	0	0	0.500	0	0.499
AP1M2	TPD52	9606.ENSP00000465685	9606.ENSP00000429309	0	0	0	0	0.073	0	0.500	0	0.516
APOE	CALCA	9606.ENSP00000252486	9606.ENSP00000331746	0	0	0	0	0	0	0.500	0	0.499
APOE	LYZ	9606.ENSP00000252486	9606.ENSP00000261267	0	0	0	0	0.079	0	0.500	0	0.520
APOE	MMP10	9606.ENSP00000252486	9606.ENSP00000279441	0	0	0	0	0.056	0.507	0	0	0.514
APOE	MMP3	9606.ENSP00000252486	9606.ENSP00000299855	0	0	0	0	0.056	0.688	0	0	0.693
APOE	GSN	9606.ENSP00000252486	9606.ENSP00000362924	0	0	0	0	0.075	0	0.500	0	0.517
APOE	SDC1	9606.ENSP00000252486	9606.ENSP00000370542	0	0	0	0	0.049	0	0.500	0	0.504
APOE	PLA2G7	9606.ENSP00000252486	9606.ENSP00000274793	0	0	0	0	0.149	0	0.900	0	0.911
APOE	MAPT	9606.ENSP00000252486	9606.ENSP00000340820	0	0	0	0	0.044	0.701	0	0	0.702
AQP6	GK	9606.ENSP00000320247	9606.ENSP00000401720	0.046	0	0	0	0.300	0.049	0.187	0	0.414
AQP7	GK	9606.ENSP00000297988	9606.ENSP00000401720	0.046	0	0	0	0.300	0.049	0.187	0	0.414
AQP7	PLIN1	9606.ENSP00000297988	9606.ENSP00000300055	0	0	0	0	0.279	0.309	0	0	0.481
ARG1	HAL	9606.ENSP00000349446	9606.ENSP00000261208	0.115	0	0	0	0.645	0	0.420	0	0.802
ARHGDIG	RHOH	9606.ENSP00000219409	9606.ENSP00000371219	0	0	0	0	0.079	0.515	0.500	0	0.757
ASPM	CDC6	9606.ENSP00000356379	9606.ENSP00000209728	0	0	0	0	0.520	0	0	0	0.520
ASPM	AURKA	9606.ENSP00000356379	9606.ENSP00000216911	0	0	0	0	0.705	0.314	0	0	0.789
ASPM	OIP5	9606.ENSP00000356379	9606.ENSP00000220514	0	0	0	0	0.644	0	0	0	0.644
ASPM	MND1	9606.ENSP00000356379	9606.ENSP00000240488	0	0	0	0	0.783	0	0	0	0.783
ASPM	DLGAP5	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.974	0	0	0	0.974
ASPM	E2F8	9606.ENSP00000356379	9606.ENSP00000250024	0	0	0	0	0.601	0	0	0	0.601
ASPM	NCAPG	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.910	0	0	0	0.910
ASPM	NDC80	9606.ENSP00000356379	9606.ENSP00000261597	0	0	0	0	0.959	0.160	0	0	0.964
ASPM	KIF18A	9606.ENSP00000356379	9606.ENSP00000263181	0	0	0	0	0.791	0.061	0	0	0.796
ASPM	NEIL3	9606.ENSP00000356379	9606.ENSP00000264596	0	0	0	0	0.475	0	0	0	0.475
ASPM	DEPDC1B	9606.ENSP00000356379	9606.ENSP00000265036	0	0	0	0	0.527	0	0	0	0.527
ASPM	CDCA5	9606.ENSP00000356379	9606.ENSP00000275517	0	0	0	0	0.583	0	0	0	0.583
ASPM	SPC25	9606.ENSP00000356379	9606.ENSP00000282074	0	0	0	0	0.815	0	0	0	0.815
ASPM	MELK	9606.ENSP00000356379	9606.ENSP00000298048	0	0	0	0	0.818	0	0	0	0.818
ASPM	BIRC5	9606.ENSP00000356379	9606.ENSP00000301633	0	0	0	0	0.748	0	0	0	0.748
ASPM	BUB1	9606.ENSP00000356379	9606.ENSP00000302530	0	0	0	0	0.907	0.111	0	0	0.914
ASPM	CKAP2L	9606.ENSP00000356379	9606.ENSP00000305204	0	0	0	0	0.724	0	0	0	0.724
ASPM	SHCBP1	9606.ENSP00000356379	9606.ENSP00000306473	0	0	0	0	0.631	0	0	0	0.631
ASPM	ESCO2	9606.ENSP00000356379	9606.ENSP00000306999	0	0	0	0	0.477	0	0	0	0.477
ASPM	SKA3	9606.ENSP00000356379	9606.ENSP00000319417	0	0	0	0	0.546	0	0	0	0.546
ASPM	CDC25C	9606.ENSP00000356379	9606.ENSP00000321656	0	0	0	0	0.524	0	0	0	0.524
ASPM	E2F7	9606.ENSP00000356379	9606.ENSP00000323246	0	0	0	0	0.492	0	0	0	0.492
ASPM	KIF15	9606.ENSP00000356379	9606.ENSP00000324020	0	0	0	0	0.895	0	0	0	0.895
ASPM	CDCA2	9606.ENSP00000356379	9606.ENSP00000328228	0	0	0	0	0.777	0	0	0	0.777
ASPM	ERCC6L	9606.ENSP00000356379	9606.ENSP00000334675	0	0	0	0	0.442	0	0	0	0.442
ASPM	CDKN3	9606.ENSP00000356379	9606.ENSP00000335357	0	0	0	0	0.784	0	0	0	0.784
ASPM	CENPA	9606.ENSP00000356379	9606.ENSP00000336868	0	0	0	0	0.800	0	0	0	0.800
ASPM	RRM2	9606.ENSP00000356379	9606.ENSP00000353770	0	0	0	0	0.626	0	0	0	0.626
ASPM	EXO1	9606.ENSP00000356379	9606.ENSP00000355506	0	0	0	0	0.792	0	0	0	0.792
ASPM	DTL	9606.ENSP00000356379	9606.ENSP00000355958	0	0	0	0	0.818	0	0	0	0.818
ASPM	NEK2	9606.ENSP00000356379	9606.ENSP00000355966	0	0	0	0	0.837	0	0	0	0.837
ASPM	CKS2	9606.ENSP00000356379	9606.ENSP00000364976	0	0	0	0	0.506	0	0	0	0.506
ASPM	UBE2T	9606.ENSP00000356379	9606.ENSP00000494957	0	0	0	0	0.780	0	0	0	0.780
ASPM	DEPDC1	9606.ENSP00000356379	9606.ENSP00000412292	0	0	0	0	0.805	0	0	0	0.805
ASPM	CDCA3	9606.ENSP00000356379	9606.ENSP00000442068	0	0	0	0	0.773	0	0	0	0.773
ASPM	HMMR	9606.ENSP00000356379	9606.ENSP00000377492	0	0	0	0	0.809	0.043	0	0	0.809
ASPM	HJURP	9606.ENSP00000356379	9606.ENSP00000414109	0	0	0	0	0.855	0	0	0	0.855
ASPM	KIF2C	9606.ENSP00000356379	9606.ENSP00000361298	0	0	0	0	0.851	0	0	0	0.851
ASPM	NUSAP1	9606.ENSP00000356379	9606.ENSP00000499238	0	0	0	0	0.852	0	0	0	0.852
ASPM	CDK1	9606.ENSP00000356379	9606.ENSP00000378699	0	0	0	0	0.827	0	0	0	0.827
ASPM	CEP55	9606.ENSP00000356379	9606.ENSP00000360540	0	0	0	0	0.842	0	0	0	0.842
ASPM	PBK	9606.ENSP00000356379	9606.ENSP00000428489	0	0	0	0	0.841	0.046	0	0	0.841
ASPM	KIF4A	9606.ENSP00000356379	9606.ENSP00000363524	0	0	0	0	0.900	0	0	0	0.900
ASPM	TTK	9606.ENSP00000356379	9606.ENSP00000358813	0	0	0	0	0.912	0	0	0	0.912
ASPM	MKI67	9606.ENSP00000356379	9606.ENSP00000357643	0	0	0	0	0.895	0.099	0	0	0.901
ASPM	KIF20A	9606.ENSP00000356379	9606.ENSP00000378356	0	0	0	0	0.900	0.048	0	0	0.900
ASPM	TOP2A	9606.ENSP00000356379	9606.ENSP00000411532	0	0	0	0	0.983	0	0	0	0.983
ATP1A2	ATP1B4	9606.ENSP00000354490	9606.ENSP00000218008	0	0	0	0	0.086	0.299	0.900	0	0.930
ATP1B4	SYNPO2L	9606.ENSP00000218008	9606.ENSP00000378289	0	0	0	0	0.433	0	0	0	0.433
ATP1B4	CSRP3	9606.ENSP00000218008	9606.ENSP00000431813	0	0	0	0	0.445	0	0	0	0.445
ATP2B3	KCNJ9	9606.ENSP00000263519	9606.ENSP00000357067	0	0	0	0	0.426	0	0	0	0.426
AURKA	CDC6	9606.ENSP00000216911	9606.ENSP00000209728	0	0	0	0	0.477	0.075	0	0	0.496
AURKA	CNTD2	9606.ENSP00000216911	9606.ENSP00000396755	0	0	0	0	0.396	0.094	0	0	0.429
AURKA	DTL	9606.ENSP00000216911	9606.ENSP00000355958	0	0	0	0	0.400	0	0	0	0.400
AURKA	SHCBP1	9606.ENSP00000216911	9606.ENSP00000306473	0	0	0	0	0.459	0	0	0	0.459
AURKA	DEPDC1B	9606.ENSP00000216911	9606.ENSP00000265036	0	0	0	0	0.498	0	0	0	0.498
AURKA	SPC25	9606.ENSP00000216911	9606.ENSP00000282074	0	0	0	0	0.474	0	0	0	0.474
AURKA	SKA3	9606.ENSP00000216911	9606.ENSP00000319417	0	0	0	0	0.452	0	0	0	0.452
AURKA	CKAP2L	9606.ENSP00000216911	9606.ENSP00000305204	0	0	0	0	0.502	0	0	0	0.502
AURKA	BIRC3	9606.ENSP00000216911	9606.ENSP00000263464	0	0	0	0	0.142	0.410	0	0	0.472
AURKA	EXO1	9606.ENSP00000216911	9606.ENSP00000355506	0	0	0	0	0.477	0	0	0	0.477
AURKA	UBE2T	9606.ENSP00000216911	9606.ENSP00000494957	0	0	0	0	0.461	0.067	0	0	0.476
AURKA	OIP5	9606.ENSP00000216911	9606.ENSP00000220514	0	0	0	0	0.537	0	0	0	0.537
AURKA	CDCA2	9606.ENSP00000216911	9606.ENSP00000328228	0	0	0	0	0.571	0	0	0	0.571
AURKA	KIF18A	9606.ENSP00000216911	9606.ENSP00000263181	0	0	0	0	0.474	0.094	0	0	0.503
AURKA	KIF15	9606.ENSP00000216911	9606.ENSP00000324020	0	0	0	0	0.536	0	0	0	0.536
AURKA	TTK	9606.ENSP00000216911	9606.ENSP00000358813	0	0	0	0.624	0.676	0.094	0	0	0.694
AURKA	DEPDC1	9606.ENSP00000216911	9606.ENSP00000412292	0	0	0	0	0.701	0	0	0	0.701
AURKA	PBK	9606.ENSP00000216911	9606.ENSP00000428489	0	0	0	0	0.617	0.067	0	0	0.627
AURKA	CKS2	9606.ENSP00000216911	9606.ENSP00000364976	0	0	0	0	0.476	0	0	0	0.476
AURKA	CDCA3	9606.ENSP00000216911	9606.ENSP00000442068	0	0	0	0	0.729	0	0	0	0.729
AURKA	NEK2	9606.ENSP00000216911	9606.ENSP00000355966	0	0	0	0.684	0.641	0	0	0	0.641
AURKA	CDC25C	9606.ENSP00000216911	9606.ENSP00000321656	0	0	0	0	0.645	0	0	0	0.645
AURKA	NUSAP1	9606.ENSP00000216911	9606.ENSP00000499238	0	0	0	0	0.705	0	0	0	0.705
AURKA	MKI67	9606.ENSP00000216911	9606.ENSP00000357643	0	0	0	0	0.523	0	0	0	0.523
AURKA	HJURP	9606.ENSP00000216911	9606.ENSP00000414109	0	0	0	0	0.780	0	0	0	0.780
AURKA	CDCA5	9606.ENSP00000216911	9606.ENSP00000275517	0	0	0	0	0.672	0	0	0	0.672
AURKA	CDKN3	9606.ENSP00000216911	9606.ENSP00000335357	0	0	0	0	0.793	0.135	0	0	0.813
AURKA	KIF4A	9606.ENSP00000216911	9606.ENSP00000363524	0	0	0	0	0.692	0	0	0	0.692
AURKA	RRM2	9606.ENSP00000216911	9606.ENSP00000353770	0	0	0	0	0.574	0	0	0	0.574
AURKA	MELK	9606.ENSP00000216911	9606.ENSP00000298048	0	0	0	0.731	0.831	0.045	0	0	0.832
AURKA	NDC80	9606.ENSP00000216911	9606.ENSP00000261597	0	0	0	0	0.720	0.474	0	0	0.847
AURKA	KIF20A	9606.ENSP00000216911	9606.ENSP00000378356	0	0	0	0	0.833	0.084	0	0	0.840
AURKA	CEP55	9606.ENSP00000216911	9606.ENSP00000360540	0	0	0	0	0.802	0.161	0	0	0.826
AURKA	CDK1	9606.ENSP00000216911	9606.ENSP00000378699	0	0	0	0.747	0.777	0.525	0	0	0.889
AURKA	NCAPG	9606.ENSP00000216911	9606.ENSP00000251496	0	0	0	0	0.816	0.103	0	0	0.828
AURKA	CENPA	9606.ENSP00000216911	9606.ENSP00000336868	0	0	0	0	0.785	0.149	0	0	0.809
AURKA	TOP2A	9606.ENSP00000216911	9606.ENSP00000411532	0	0	0	0	0.826	0.071	0	0	0.832
AURKA	DLGAP5	9606.ENSP00000216911	9606.ENSP00000247191	0	0	0	0	0.843	0.226	0	0	0.874
AURKA	HMMR	9606.ENSP00000216911	9606.ENSP00000377492	0	0	0	0	0.794	0.292	0	0	0.848
AURKA	BUB1	9606.ENSP00000216911	9606.ENSP00000302530	0	0	0	0	0.836	0.089	0	0	0.844
AURKA	KIF2C	9606.ENSP00000216911	9606.ENSP00000361298	0	0	0	0	0.799	0.323	0	0	0.858
AURKA	BIRC5	9606.ENSP00000216911	9606.ENSP00000301633	0	0	0	0	0.824	0.492	0.540	0	0.955
BCAM	LAMA5	9606.ENSP00000270233	9606.ENSP00000252999	0	0	0	0	0.163	0.615	0	0	0.664
BCL2A1	BIK	9606.ENSP00000267953	9606.ENSP00000216115	0	0	0	0	0.049	0.611	0	0	0.614
BCL2A1	GPR65	9606.ENSP00000267953	9606.ENSP00000267549	0	0	0	0	0.446	0	0	0	0.446
BCL2A1	SAMSN1	9606.ENSP00000267953	9606.ENSP00000285670	0	0	0	0	0.461	0	0	0	0.461
BIRC3	TNFRSF13C	9606.ENSP00000263464	9606.ENSP00000291232	0	0	0	0	0.048	0	0.500	0	0.503
BIRC3	LTA	9606.ENSP00000263464	9606.ENSP00000403495	0	0	0	0	0.102	0.045	0.500	0	0.533
BIRC3	TNFSF13B	9606.ENSP00000263464	9606.ENSP00000365048	0	0	0	0	0.076	0	0.500	0	0.518
BIRC3	TNF	9606.ENSP00000263464	9606.ENSP00000398698	0	0	0	0	0.161	0.510	0.500	0	0.776
BIRC5	CDC6	9606.ENSP00000301633	9606.ENSP00000209728	0	0	0	0	0.521	0.071	0	0	0.536
BIRC5	OIP5	9606.ENSP00000301633	9606.ENSP00000220514	0	0	0	0	0.787	0	0	0	0.787
BIRC5	MND1	9606.ENSP00000301633	9606.ENSP00000240488	0	0	0	0	0.504	0.091	0	0	0.529
BIRC5	DLGAP5	9606.ENSP00000301633	9606.ENSP00000247191	0	0	0	0	0.907	0	0	0	0.907
BIRC5	E2F8	9606.ENSP00000301633	9606.ENSP00000250024	0	0	0	0	0.507	0	0	0	0.507
BIRC5	NCAPG	9606.ENSP00000301633	9606.ENSP00000251496	0	0	0	0	0.685	0.100	0	0	0.705
BIRC5	NDC80	9606.ENSP00000301633	9606.ENSP00000261597	0	0	0	0	0.831	0	0	0	0.831
BIRC5	KIF18A	9606.ENSP00000301633	9606.ENSP00000263181	0	0	0	0	0.453	0.060	0	0	0.464
BIRC5	NEIL3	9606.ENSP00000301633	9606.ENSP00000264596	0	0	0	0	0.478	0	0	0	0.478
BIRC5	DEPDC1B	9606.ENSP00000301633	9606.ENSP00000265036	0	0	0	0	0.528	0.292	0	0	0.651
BIRC5	CDCA5	9606.ENSP00000301633	9606.ENSP00000275517	0	0	0	0	0.779	0	0	0	0.779
BIRC5	SPC25	9606.ENSP00000301633	9606.ENSP00000282074	0	0	0	0	0.827	0	0	0	0.827
BIRC5	MELK	9606.ENSP00000301633	9606.ENSP00000298048	0	0	0	0	0.885	0.091	0	0	0.891
BIRC5	CKAP2L	9606.ENSP00000301633	9606.ENSP00000305204	0	0	0	0	0.509	0	0	0	0.509
BIRC5	DTL	9606.ENSP00000301633	9606.ENSP00000355958	0	0	0	0	0.524	0	0	0	0.524
BIRC5	SKA3	9606.ENSP00000301633	9606.ENSP00000319417	0	0	0	0	0.464	0	0	0	0.464
BIRC5	CNTD2	9606.ENSP00000301633	9606.ENSP00000396755	0	0	0	0	0.606	0.098	0	0	0.629
BIRC5	ESCO2	9606.ENSP00000301633	9606.ENSP00000306999	0	0	0	0	0.549	0	0	0	0.549
BIRC5	CDCA2	9606.ENSP00000301633	9606.ENSP00000328228	0	0	0	0	0.518	0	0	0	0.518
BIRC5	UBE2T	9606.ENSP00000301633	9606.ENSP00000494957	0	0	0	0	0.576	0.091	0	0	0.598
BIRC5	CKS2	9606.ENSP00000301633	9606.ENSP00000364976	0	0	0	0	0.608	0	0	0	0.608
BIRC5	CDC25C	9606.ENSP00000301633	9606.ENSP00000321656	0	0	0	0	0.511	0	0	0	0.511
BIRC5	DEPDC1	9606.ENSP00000301633	9606.ENSP00000412292	0	0	0	0	0.657	0	0	0	0.657
BIRC5	EXO1	9606.ENSP00000301633	9606.ENSP00000355506	0	0	0	0	0.604	0.070	0	0	0.616
BIRC5	KIF15	9606.ENSP00000301633	9606.ENSP00000324020	0	0	0	0	0.751	0	0	0	0.751
BIRC5	SHCBP1	9606.ENSP00000301633	9606.ENSP00000306473	0	0	0	0	0.814	0	0	0	0.814
BIRC5	HMMR	9606.ENSP00000301633	9606.ENSP00000377492	0	0	0	0	0.793	0.071	0	0	0.800
BIRC5	CDKN3	9606.ENSP00000301633	9606.ENSP00000335357	0	0	0	0	0.848	0.090	0	0	0.856
BIRC5	RRM2	9606.ENSP00000301633	9606.ENSP00000353770	0	0	0	0	0.758	0	0	0	0.758
BIRC5	HJURP	9606.ENSP00000301633	9606.ENSP00000414109	0	0	0	0	0.819	0	0	0	0.819
BIRC5	CEP55	9606.ENSP00000301633	9606.ENSP00000360540	0	0	0	0	0.806	0	0	0	0.806
BIRC5	KIF4A	9606.ENSP00000301633	9606.ENSP00000363524	0	0	0	0	0.853	0	0	0	0.853
BIRC5	TTK	9606.ENSP00000301633	9606.ENSP00000358813	0	0	0	0	0.826	0	0	0	0.826
BIRC5	MKI67	9606.ENSP00000301633	9606.ENSP00000357643	0	0	0	0	0.817	0	0	0	0.817
